	Date	Game	Category	Estimate	Console	Region	Runner	
Sunday	27-7-2014 14:00:00	Croc: Legend of the Gobbos	Any% Race	1:10:00	PC/PS1		Chrno vs. PuppetMaster	
	27-7-2014 15:10:00	Ape Escape 3	Any%	1:45:00	PS2		Cerberus	
	27-7-2014 16:55:00	Metroid Fusion	Any%	1:40:00	GB Player		DragonFangs	
	27-7-2014 18:35:00	Zelda II: The Adventure of Link	Any% No Up+A, 100% All Keys	1:25:00	NES		Pro_JN	
	27-7-2014 20:00:00	F-Zero X	Master GP	0:50:00			WMJ	
	27-7-2014 20:50:00	Borderlands	Any%	2:50:00	PC		Incalex	
	27-7-2014 23:40:00	Mass Effect 2	Any%	2:00:00	PC		Tentaclepie	
Monday	28-7-2014 1:40:00	Half-Life 2: Episode One	Any%	1:00:00	PC		S.	
	28-7-2014 2:40:00	Half-Life 2: Episode Two	Any% Race	1:10:00	PC		Elgu & S.	
	28-7-2014 3:50:00	Otogi 2: Immortal Warriors	Any%	1:30:00	Xbox		Dalfen	
	28-7-2014 5:20:00	Setup 		0:30:00				
	28-7-2014 5:50:00	Beethoven's 2nd	Any% Race	0:15:00	SNES	NTSC	Shrimp vs. Cruxit	
	28-7-2014 6:05:00	American Gladiators	Any%	0:10:00	SNES	NTSC	Klosty	
	28-7-2014 6:15:00	UN Squadron	Any% Race	0:30:00	SNES	NTSC	KVD vs. Meridian	
	28-7-2014 6:45:00	Ice Climbers	Any%	0:25:00	NES	NTSC	BadBrakes	
	28-7-2014 7:10:00	North & South	Sound-effect%	0:05:00	NES	NTSC	Svenne	
	28-7-2014 7:15:00	Donald Land	Any%        	0:20:00	FAM	NTSC	Klosty	
	28-7-2014 7:35:00	Kung Fu	Any%	0:10:00	NES	NTSC	BadBrakes	
	28-7-2014 7:45:00	Shadow of the Ninja	Any%	0:20:00	NES	NTSC	Charleon	
	28-7-2014 8:05:00	Street Fighter 2010: The Final Fight	100%	0:30:00	NES	NTSC	Wery	
	28-7-2014 8:35:00	Battle Kid: Fortress of Peril	Any% Race	0:55:00	NES	NTSC	Airrider	
	28-7-2014 9:30:00	DuckTales 2	Good Ending	0:25:00	GB		Bangerra	
	28-7-2014 9:55:00	Gex (64) Enter the Gecko	Any%	1:10:00	N64	NTSC	exe	
	28-7-2014 11:05:00	The Legend of Zelda: Phantom Hourglass	Any%	3:45:00	3DS		GreenaLink	Second stream starts
	28-7-2014 14:50:00	Setup 		0:30:00				
	28-7-2014 15:20:00	Crash Bandicoot 2	Any% No Game Over Abuse	0:55:00	PS2	PAL	Zoton2	
	28-7-2014 16:15:00	Jak II: Renegade	Any%	1:40:00	PS2	PAL	ThaRixer	
