	Time and date	Thing	Category	Estimate	Console	Region	Runner
Monday	27-7-2014 14:00:00	Warmup (Music + Schedule)	https://www.youtube.com/watch?v=N27QV7_Z-j4	22:00:00			Flicky Singing / Stripping
	28-7-2014 12:00:00	World of Illusion	Any% Co-op	0:30:00	Genesis	NTSC	Edenal & Grukk
	28-7-2014 12:30:00	Donald Duck Quack Attack	Any%	1:00:00	Wii	PAL	Arzga
	28-7-2014 13:30:00	The Lion King	Any%	0:10:00	NES	PAL	Bangerra
	28-7-2014 13:40:00	Tiny Toon Adventures: Buster Busts Loose	Any%	0:30:00	SNES		Edenal
	28-7-2014 14:10:00	F-Zero X	Staff Ghosts	0:50:00	SNES		WMJ
	28-7-2014 15:00:00	F-Zero X	Death Race	0:10:00	SNES		WMJ
	28-7-2014 15:10:00	Jet Set Radio	100%	1:30:00			Rueake
	28-7-2014 16:40:00	Setup 		0:30:00			
	28-7-2014 17:10:00	TAS Tutorial	-	2:00:00	-		Tompa
	28-7-2014 19:10:00	Recap #1	-	1:00:00	-		Whoever
	28-7-2014 20:10:00	Super Mario Kart	All Cups GP150cc	0:40:00	SNES		KVD
	28-7-2014 20:50:00	Super Mario World	96 Exit (100%)	1:35:00	SNES		Akisto
	28-7-2014 22:25:00	Beyond Good & Evil	Any%	2:45:00	PC		lillbrorsan
Tuesday	29-7-2014 1:10:00	Binding of Isaac	Chest	0:30:00			Sly7745
	29-7-2014 1:40:00	Grim Fandango	Any%	1:45:00	PC		AMVX
	29-7-2014 3:25:00	God of War	Any% NG+	1:45	PS3		exe
	29-7-2014 5:10:00	Singularity	Any%	1:35:00	PC		lillbrorsan
	29-7-2014 6:45:00	Open Speedrun Block	-	1:00:00	-		Whoever
	29-7-2014 7:45:00	Open Casual Block	-	1:00:00	-		Whoever
	29-7-2014 8:45:00	Setup 		0:30:00			
	29-7-2014 9:15:00	Beer - The Last Eichhof	Beat the Game%	0:20:00	-		Winkl0r
	29-7-2014 9:35:00	ILs/Arcade/Casual/Multiplayer	-	1:40:00			People
	29-7-2014 11:15:00	Halo 3	Any% (Easy)	1:40:00			Hiipfire
	29-7-2014 12:55:00	SSX 3	All Freestyle Golds	1:30:00	GC		JangBang
	29-7-2014 14:25:00	Ninja Gaiden	Pacifist%/Any% donation war	0:30:00	NES		dxtr
	29-7-2014 14:55:00	Ninja Gaiden 3	Any%	0:20:00	NES		Infestedriche
	29-7-2014 15:15:00	Ninja Gaiden	Any%	0:20:00	SMS		KrazyRasmus
	29-7-2014 15:35:00	Ninja Gaiden Shadow	Any%	0:20:00	GB		Bangerra
	29-7-2014 15:55:00	Uncharted: Drake's Fortune	Any%	2:00:00	PS3		DrZaph
	29-7-2014 17:55:00	Setup 		0:30:00			
	29-7-2014 18:25:00	Eye Motion Tracking Exhibition	-	1:00:00	-		Edenal/bream.io
	29-7-2014 19:25:00	Recap #2	-	1:00:00	-		Whoever
	29-7-2014 20:25:00	Goldeneye 007	100%	1:20:00	N64	NTSC-J	illudude
	29-7-2014 21:45:00	Deus EX Invisible War	Any%	1:00:00	PC		Heinki
